Date,Time,Day of Week,Category,Details,Location,Press Pool,Daily Summary,Factba.se URL,
1/15/2025,14:00:00,Wednesday,President Schedule,The President delivers remarks on reaching a ceasefire and hostage deal,Cross Hall,In-Town Pool,,https://rollcall.com/factbase/biden/transcript/joe-biden-remarks-israel-gaza-cease-fire-hostage-deal-january-15-2025,
1/15/2025,20:00:00,Wednesday,President Schedule,The President delivers a farewell address to the nation,Oval Office,Restricted Pool,,https://rollcall.com/factbase/biden/transcript/joe-biden-remarks-fairwell-address-to-the-nation-january-15-2025,
1/14/2025,10:00:00,Tuesday,President Schedule,The President receives the President’s Daily Brief,The White House,Closed Press,,,Array
1/14/2025,17:30:00,Tuesday,President Schedule,The President delivers remarks celebrating the Administration’s historic conservation legacy and signs proclamations to establish the Chuckwalla National Monument and the Sáttítla Highlands National Monument in California,East Room,Pre-Credentialed Media [To RSVP email Press@who.eop.gov and fill out this link by 12:00 PM],,https://rollcall.com/factbase/biden/transcript/joe-biden-remarks-chuckwalla-national-monument-conservation-january-14-2025,
1/13/2025,12:15:00,Monday,Briefing Schedule,Press Briefing by Press Secretary Karine Jean-Pierre and National Security Advisor Jake Sullivan,James S. Brady Press Briefing Room,,,https://rollcall.com/factbase/biden/transcript/joe-biden-press-conference-briefing-karine-jean-pierre-january-13-2025,
1/13/2025,13:30:00,Monday,President Schedule,The President departs the White House en route to the State Department,South Grounds,In-Town Travel Pool,,,
1/13/2025,14:00:00,Monday,President Schedule,The President delivers a foreign policy address at the State Department on the work of his Administration to strengthen America and lead the world,U.S. Department of State,Open Press,,https://rollcall.com/factbase/biden/transcript/joe-biden-remarks-state-department-foreign-policy-january-13-2025,
1/13/2025,14:45:00,Monday,President Schedule,The President departs the State Department en route to the White House,U.S. Department of State,In-Town Travel Pool,,,
1/13/2025,14:50:00,Monday,President Schedule,The President arrives at the White House,South Grounds,In-Town Travel Pool,,,
1/13/2025,17:15:00,Monday,President Schedule,The President convenes Senior White House and Administration officials for a briefing on the full federal response he has directed to the wildfires across Los Angeles; The Vice President attends,Roosevelt Room,In-House Pool Spray,,https://rollcall.com/factbase/biden/transcript/joe-biden-remarks-los-angeles-wildfires-emergency-briefing-january-13-2025,
1/12/2025,,Sunday,President Schedule,"On Sunday, the President has no public events scheduled.",The White House,In-Town Pool,,,Array
1/11/2025,,Saturday,President Schedule,"On Saturday, the President has no public events scheduled.",The White House,In-Town Pool,,,Array
1/10/2025,10:00:00,Friday,President Schedule,The President receives the President’s Daily Brief,The White House,Closed Press,,,Array
1/10/2025,11:30:00,Friday,President Schedule,The President convenes key officials for a briefing on the full federal response he has directed to the wildfires across Los Angeles; The Vice President attends,Oval Office,In-House Pool,,https://rollcall.com/factbase/biden/transcript/joe-biden-remarks-fema-briefing-white-house-january-10-2025,
1/10/2025,13:30:00,Friday,Briefing Schedule,Press Briefing by Press Secretary Karine Jean-Pierre and FEMA Administrator Deanne Criswell,James S. Brady Press Briefing Room,,,https://rollcall.com/factbase/biden/transcript/joe-biden-press-conference-briefing-karine-jean-pierre-january-10-2025,
1/10/2025,17:00:00,Friday,President Schedule,The President delivers remarks on today’s jobs report and the state of the economy,Roosevelt Room,In-Town Pool,,https://rollcall.com/factbase/biden/transcript/joe-biden-remarks-economy-jobs-report-january-10-2025,
1/9/2025,8:00:00,Thursday,President Schedule,The President receives the President’s Daily Brief,The White House,Closed Press,,,Array
1/9/2025,9:05:00,Thursday,President Schedule,"The President, The First Lady, The Vice President, and The Second Gentleman depart the White House en route to National Cathedral",South Grounds,In-Town Travel Pool,,,
1/9/2025,9:05:00,Thursday,President Schedule,The President and The First Lady depart the White House en route to National Cathedral,South Grounds,In-Town Travel Pool,,https://rollcall.com/factbase/biden/transcript/joe-biden-remarks-eulogy-jimmy-carter-funeral-washington-january-9-2025,
1/9/2025,10:00:00,Thursday,President Schedule,"The President, The First Lady, The Vice President, and The Second Gentleman attend a memorial service for former President Jimmy Carter",National Cathedral,In-Town Travel Pool,,,
1/9/2025,10:00:00,Thursday,President Schedule,"The President, The First Lady, The Vice President, and The Second Gentleman attend a memorial service for former President Jimmy Carter",National Cathedral,In-Town Travel Pool,,,
1/9/2025,12:15:00,Thursday,President Schedule,"The President, The First Lady, The Vice President, and The Second Gentleman depart the National Cathedral en route to the White House",National Cathedral,In-Town Travel Pool,,,
1/9/2025,12:15:00,Thursday,President Schedule,The President and The First Lady depart the National Cathedral en route to Joint Base Andrews,National Cathedral,In-Town Travel Pool,,,
1/9/2025,12:35:00,Thursday,President Schedule,"The President, The First Lady, The Vice President, and The Second Gentleman arrive at the White House",South Grounds,In-Town Travel Pool,,,
1/9/2025,13:00:00,Thursday,President Schedule,"CANCELLED: The President and The First Lady depart Joint Base Andrews en route to Rome, Italy",Joint Base Andrews,Out-of-Town Pool,,,
1/9/2025,16:30:00,Thursday,President Schedule,The President convenes Senior White House and Administration officials for a briefing on the full federal response he has directed to the wildfires across Los Angeles; The Vice President attends,Roosevelt Room,In-Town Pool,,https://rollcall.com/factbase/biden/transcript/joe-biden-remarks-briefing-los-angeles-wildfires-white-house-january-9-2025,
1/9/2025,20:00:00,Thursday,President Schedule,"CANCELLED: The President and The First Lady arrive to Rome, Italy [2:00 AM Local 1/10]","Fiumicino Leonardo da Vinci International Airport, Rome",Open Press,,,Array
1/8/2025,13:00:00,Wednesday,President Schedule,The President and the First Lady arrive to see the birth of their first great-grandchild [10:00 AM Local],"Cedars-Sinai Medical Center, Los Angeles",Out-of-Town Pool,,,Array
1/8/2025,13:55:00,Wednesday,President Schedule,The President attends a wildfire briefing in Santa Monica [10:55 AM Local],"Santa Monica Fire Department Station 5, Santa Monica, CA",Out-of-Town Pool,,https://rollcall.com/factbase/biden/transcript/joe-biden-remarks-fire-station-santa-monica-california-january-8-2025,
1/8/2025,14:40:00,Wednesday,President Schedule,The President and The First Lady depart Santa Monica Landing Zone en route to Los Angeles International Airport [11:40 AM Local],Santa Monica Municipal Airport,Out-of-Town Pool,,,
1/8/2025,14:50:00,Wednesday,President Schedule,The President and The First Lady arrive to Los Angeles International Airport [11:50 AM Local],Los Angeles International Airport,Out-of-Town Pool,,,
1/8/2025,15:00:00,Wednesday,President Schedule,"The President and The First Lady depart Los Angeles, California en route to Joint Base Andrews [12:00 PM Local]",Los Angeles International Airport,Open Press,,,
1/8/2025,19:30:00,Wednesday,President Schedule,The President and The First Lady arrive to Joint Base Andrews ,Joint Base Andrews,Out-of-Town Pool,,,
1/8/2025,19:40:00,Wednesday,President Schedule,The President and The First Lady depart Joint Base Andrews en route to the South Lawn,Joint Base Andrews,Out-of-Town Pool,,,
1/8/2025,19:50:00,Wednesday,President Schedule,The President and The First Lady arrive to the South Lawn,South Lawn,Open Press,,,
1/7/2025,1:00:00,Tuesday,President Schedule,"The President and The First Lady arrive to Los Angeles, California [10:00 PM Local]",Los Angeles International Airport,Open Press,,,Array
1/7/2025,14:45:00,Tuesday,President Schedule,CANCELLED: The President departs Santa Monica Landing Zone en route to Los Angeles International Airport [10:10 PM Local 1/6],Santa Monica Municipal Airport,Out-of-Town Pool,,,
1/7/2025,14:55:00,Tuesday,President Schedule,CANCELLED: The President arrives to Los Angeles International Airport [11:55 AM Local],Los Angeles International Airport,Out-of-Town Pool,,,
1/7/2025,15:05:00,Tuesday,President Schedule,"CANCELLED: The President departs Los Angeles, California en route to Thermal, California [12:05 PM Local]",Los Angeles International Airport,Out-of-Town Pool,,,
1/7/2025,15:45:00,Tuesday,President Schedule,"CANCELLED: The President arrives to Thermal, California [12:45 PM Local]","Jacqueline Cochran Regional Airport, Thermal, CA",Out-of-Town Pool,,,
1/7/2025,17:00:00,Tuesday,President Schedule,CANCELLED: The President delivers remarks [2:00 PM Local],"Thermal, CA",Open Press,,,
1/7/2025,18:40:00,Tuesday,President Schedule,"CANCELLED: The President departs Thermal, California en route to Los Angeles, California [3:40 PM Local]","Jacqueline Cochran Regional Airport, Thermal, CA",Out-of-Town Pool,,,
1/7/2025,19:20:00,Tuesday,President Schedule,"CANCELLED: The President arrives to Los Angeles, California [6:20 PM Local]",Los Angeles International Airport,Out-of-Town Pool,,,
1/7/2025,19:30:00,Tuesday,President Schedule,CANCELLED: The President departs Los Angeles International Airport en route to Santa Monica Landing Zone [4:30 PM Local],Los Angeles International Airport,Out-of-Town Pool,,,
1/7/2025,19:40:00,Tuesday,President Schedule,The President arrives to Santa Monica Landing Zone [4:40 PM Local],Santa Monica Municipal Airport,Out-of-Town Pool,,,
1/6/2025,1:10:00,Monday,President Schedule,The President and The First Lady depart Los Angeles International Airport en route to Santa Monica Landing Zone [10:00 PM Local 1/6],Santa Monica Municipal Airport,Out-of-Town Pool,,,Array
1/6/2025,12:20:00,Monday,President Schedule,The President and The First Lady depart the White House en route to Joint Base Andrews,South Grounds,Out-of-Town Pool,,,
1/6/2025,13:20:00,Monday,President Schedule,The President and The First Lady arrive to Joint Base Andrews,Joint Base Andrews,Out-of-Town Pool,,,
1/6/2025,13:45:00,Monday,President Schedule,"The President and The First Lady depart Joint Base Andrews en route to New Orleans, Louisiana ",Joint Base Andrews,Out-of-Town Pool,,,
1/6/2025,14:45:00,Monday,Briefing Schedule,"Press Secretary Karine Jean-Pierre will gaggle aboard Air Force One en route to New Orleans, Louisiana ",Joint Base Andrews,Out-of-Town Pool,,https://rollcall.com/factbase/biden/transcript/joe-biden-press-gaggle-briefing-air-force-one-karine-jean-pierre-january-6-2025,
1/6/2025,16:35:00,Monday,President Schedule,"The President and The First Lady arrive in New Orleans, Louisiana [3:35 PM Local]","Louis Armstrong New Orleans International Airport, Kenner, LA",Open Press,,,
1/6/2025,19:00:00,Monday,President Schedule,"The President and The First Lady attend an Interfaith Prayer Service for Peace and Healing hosted by the Archdiocese of New Orleans at the Cathedral-Basilica of Saint Louis, King of France and grieve with the families and community members impacted by the tragic attack on January 1 [6:00 PM Local]","Cathedral-Basilica of Saint Louis, King of France, New Orleans",Open Press,,https://rollcall.com/factbase/biden/transcript/joe-biden-remarks-interfaith-prayer-service-new-orleans-january-6-2025,
1/6/2025,21:00:00,Monday,President Schedule,"The President and The First Lady depart New Orleans, Louisiana en route to Los Angeles, California [8:00 PM Local]","Louis Armstrong New Orleans International Airport, Kenner, LA",Out-of-Town Pool,,,
1/5/2025,16:00:00,Sunday,President Schedule,The President signs the Social Security Fairness Act,East Room,Pre-Credentialed Media,,https://rollcall.com/factbase/biden/transcript/joe-biden-remarks-social-security-fairness-act-january-5-2025,
1/5/2025,19:00:00,Sunday,President Schedule,The President delivers remarks at a reception for new Democratic members of Congress; The First Lady attends,State Dining Room, In-House Pool,,https://rollcall.com/factbase/biden/transcript/joe-biden-remarks-reception-new-democratic-congress-january-5-2025,
1/4/2025,13:00:00,Saturday,President Schedule,"The President delivers remarks at a Medal of Freedom Ceremony; The First Lady, the Vice President, and the Second Gentleman attend",East Room,Pre-Credentialed Media,,,
1/3/2025,12:20:00,Friday,President Schedule,The President hosts a Medal of Valor Ceremony,Oval Office,Closed Press,,https://rollcall.com/factbase/biden/transcript/joe-biden-remarks-after-medal-of-valor-ceremony-january-3-2025,
1/3/2025,13:15:00,Friday,Briefing Schedule,Press Briefing by Press Secretary Karine Jean-Pierre,James S. Brady Press Briefing Room,,,https://rollcall.com/factbase/biden/transcript/joe-biden-press-conference-briefing-karine-jean-pierre-january-3-2025,
1/3/2025,17:00:00,Friday,President Schedule,The President delivers remarks at a Medal of Honor Ceremony,East Room,Pre-Credentialed Media [To RSVP email Press@who.eop.gov and fill out this link by 12:00 PM],,https://rollcall.com/factbase/biden/transcript/joe-biden-remarks-medal-of-honor-ceremony-january-3-2025,
1/2/2025,11:25:00,Thursday,President Schedule,The President and The First Lady depart Camp David en route to the South Lawn,Camp David,Closed Press,,,
1/2/2025,11:55:00,Thursday,President Schedule,The President and The First Lady arrive to the South Lawn,Joint Base Andrews,Open Press,,,
1/2/2025,14:00:00,Thursday,President Schedule,The President delivers remarks on securing 235 judicial confirmations,State Dining Room,Pre-Credentialed Media & Pooled for TV [To RSVP email Press@who.eop.gov and fill out this link by 10:00 AM],,https://rollcall.com/factbase/biden/transcript/joe-biden-remarks-judicial-appointments-white-house-january-2-2025,
1/2/2025,17:00:00,Thursday,President Schedule,The President delivers remarks at a Presidential Citizens Medal Ceremony,East Room,Pre-Credentialed Media & Pooled for TV [To RSVP email Press@who.eop.gov and fill out this link by 10:00 AM],,https://rollcall.com/factbase/biden/transcript/joe-biden-remarks-presidential-citizens-medal-white-house-january-2-2025,
1/1/2025,10:25:00,Wednesday,President Schedule,"The President and The First Lady depart Wilmington, Delaware en route to Hagerstown, Maryland",New Castle National Guard Base,Out-of-Town Pool,,,
1/1/2025,11:05:00,Wednesday,President Schedule,"The President and The First Lady arrive in Hagerstown, Maryland",Hagerstown Regional Airport,Out-of-Town Pool,,,
1/1/2025,11:45:00,Wednesday,President Schedule,The President and The First Lady arrive to Camp David,Camp David,Out-of-Town Pool,,,
1/1/2025,18:30:00,Wednesday,President Schedule,The President delivers remarks on the latest developments in New Orleans,Camp David,Out-of-Town Pool,,https://rollcall.com/factbase/biden/transcript/joe-biden-remarks-new-orleans-terrorism-camp-david-january-1-2025,
12/31/2024,9:15:00,Tuesday,President Schedule,"The President and The First Lady depart St. Croix, U.S. Virgin Islands en route to Philadelphia International Airport [10:15 AM Local]","Henry E. Rohlsen Airport, St. Croix, VI",Out-of-Town Pool,,,
12/31/2024,12:45:00,Tuesday,President Schedule,"The President and The First Lady arrive in Philadelphia, Pennsylvania",Philadelphia International Airport,Out-of-Town Pool,,,
12/31/2024,12:55:00,Tuesday,President Schedule,"The President and The First Lady depart Philadelphia, Pennsylvania en route to Wilmington, Delaware",Philadelphia International Airport,Out-of-Town Pool,,,
12/31/2024,13:10:00,Tuesday,President Schedule,"The President and The First Lady arrive in Wilmington, Delaware",New Castle National Guard Base,Out-of-Town Pool,,,
12/30/2024,,Monday,President Schedule,"On Monday, the President has no public events scheduled.","Residence of Bill and Connie Neville, Christiansted, VI",Out-of-Town Pool,,,Array
12/30/2024,19:25:00,Monday,Pool Report Schedule,The President delivers remarks on the passing of former president Jimmy Carter [8:25 PM Local],"Company House Hotel, Christiansted, VI",Out-of-Town Pool,,https://rollcall.com/factbase/biden/transcript/joe-biden-remarks-jimmy-carter-death-st-croix-us-virgin-islands-december-30-2024,
12/29/2024,,Sunday,President Schedule,"On Sunday, the President has no public events scheduled.","Residence of Bill and Connie Neville, Christiansted, VI",Out-of-Town Pool,,,Array
12/28/2024,,Saturday,President Schedule,"On Saturday, the President has no public events scheduled.","Residence of Bill and Connie Neville, Christiansted, VI",Out-of-Town Pool,,,Array
12/27/2024,,Friday,President Schedule,"On Friday, the President has no public events scheduled.","Residence of Bill and Connie Neville, Christiansted, VI",Out-of-Town Pool,,,Array
12/26/2024,8:00:00,Thursday,President Schedule,The President receives the Presidential Daily Briefing,The White House,Closed Press,,,Array
12/26/2024,9:00:00,Thursday,President Schedule,The President and The First Lady depart the White House en route to Joint Base Andrews,South Grounds,Out-of-Town Pool,,,
12/26/2024,9:30:00,Thursday,President Schedule,"The President and The First Lady depart Joint Base Andrews en route to St. Croix, U.S. Virgin Islands",Joint Base Andrews,Out-of-Town Pool,,,
12/26/2024,12:45:00,Thursday,President Schedule,"The President and The First Lady arrive in St. Croix, U.S. Virgin Islands [1:45 PM Local]","Henry E. Rohlsen Airport, St. Croix, VI",Open Press,,,
12/26/2024,13:45:00,Thursday,Pool Report Schedule,The President and the First Lady arrive at their destination [2:30 PM Local],"Residence of Bill and Connie Neville, Christiansted, VI",Out-of-Town Pool,,,
12/25/2024,10:00:00,Wednesday,President Schedule,The President receives the Presidential Daily Briefing,The White House,Closed Press,,,Array
12/24/2024,10:00:00,Tuesday,President Schedule,The President receives the Presidential Daily Briefing,The White House,Closed Press,,,Array
12/23/2024,11:00:01,Monday,President Schedule,The President receives the Presidential Daily Briefing,The White House,Closed Press,,,
12/22/2024,,Sunday,President Schedule,"On Sunday, the President has no public events scheduled.",The White House,In-Town Pool,,,Array
12/21/2024,,Saturday,President Schedule,"On Saturday, the President has no public events scheduled.",The White House,In-Town Pool,,,Array
12/20/2024,11:00:00,Friday,President Schedule,The President receives the Presidential Daily Briefing,The White House,Closed Press,,,
12/20/2024,12:15:00,Friday,Briefing Schedule,Press Briefing by Press Secretary Karine Jean-Pierre,James S. Brady Press Briefing Room,,,https://rollcall.com/factbase/biden/transcript/joe-biden-press-conference-briefing-karine-jean-pierre-december-20-2024,
12/20/2024,13:20:00,Friday,President Schedule,"The President and The First Lady depart the White House en route to a Children’s National Hospital, Washington, DC",South Grounds,In-Town Travel Pool,,,
12/20/2024,14:10:00,Friday,President Schedule,The President and The First Lady make a holiday visit to patients and families at Children’s National Hospital,Children's National Hospital,In-Town Travel Pool,,https://rollcall.com/factbase/biden/transcript/joe-biden-remarks-holiday-visit-childrens-national-hospital-december-20-2024,
12/20/2024,14:45:00,Friday,President Schedule,The President and The First Lady depart en route to the White House,Children's National Hospital,In-Town Travel Pool,,,
12/20/2024,15:00:00,Friday,President Schedule,The President and The First Lady arrive at the White House,South Grounds,In-Town Travel Pool,,,
12/19/2024,10:00:00,Thursday,President Schedule,The President receives the Presidential Daily Briefing,"Biden Residence, Wilmington, DE",Closed Press,,,Array
12/19/2024,16:40:00,Thursday,President Schedule,"The President and The First Lady depart Wilmington, Delaware en route to the White House",New Castle National Guard Base,Out-of-Town Pool,,,
12/19/2024,17:30:00,Thursday,President Schedule,The President and The First Lady arrive at the White House,South Lawn,Open Press,,,
12/18/2024,11:00:00,Wednesday,President Schedule,The President receives the Presidential Daily Briefing,"Biden Residence, Wilmington, DE",Closed Press,,,
12/17/2024,14:00:00,Tuesday,President Schedule,The President receives the President’s Daily Brief,The White House,Closed Press,,,
12/17/2024,21:10:00,Tuesday,President Schedule,"The President and The First Lady depart the White House en route Wilmington, Delaware",South Lawn,Open Press,,https://rollcall.com/factbase/biden/transcript/joe-biden-press-gaggle-before-marine-one-departure-december-17-2024,
12/17/2024,22:00:00,Tuesday,President Schedule,"The President and The First Lady arrive in Wilmington, Delaware",New Castle National Guard Base,Out-of-Town Pool,,,
12/16/2024,10:00:00,Monday,President Schedule,The President receives the President’s Daily Brief,The White House,Closed Press,,,Array
12/16/2024,11:40:00,Monday,President Schedule,The President departs the White House en route to the Department of Labor,South Grounds,In-Town Travel Pool,,,
12/16/2024,12:15:00,Monday,President Schedule,The President joins Acting Secretary of Labor Julie Su for an event at the Department of Labor to honor our nation’s labor history and the Biden-Harris Administration’s work to strengthen America’s workforce,Department of Labor,Pre-Credentialed Media,,https://rollcall.com/factbase/biden/transcript/joe-biden-remarks-labor-history-frances-perkins-monument-december-16-2024,
12/16/2024,13:15:00,Monday,President Schedule,The President departs the Department of Labor en route to the White House,Department of Labor,In-Town Travel Pool,,,
12/16/2024,13:20:00,Monday,President Schedule,The President arrives at the White House,South Grounds,In-Town Travel Pool,,,
12/16/2024,19:45:00,Monday,President Schedule,The President and The First Lady host a Hanukkah Holiday Reception; The Second Gentleman attends,East Room,In-House Pool,,https://rollcall.com/factbase/biden/transcript/joe-biden-remarks-chanukah-reception-white-house-december-17-2024,
12/15/2024,17:35:00,Sunday,President Schedule,The President and The First Lady depart en route to Willard Hotel,South Grounds,In-Town Pool,,,
12/15/2024,17:45:00,Sunday,President Schedule,"The President, The First Lady, The Vice President and the Second Gentleman deliver remarks at the Democratic National Committee’s Holiday Reception",Willard Hotel,In-Town Pool,,https://rollcall.com/factbase/biden/transcript/joe-biden-remarks-dnc-holiday-reception-washington-december-15-2024,
12/15/2024,18:20:00,Sunday,President Schedule,The President and The First Lady depart the Willard Hotel,Willard Hotel,In-Town Pool,,,
12/15/2024,18:25:00,Sunday,President Schedule,The President and The First Lady arrive at the White House,Willard Hotel,In-Town Pool,,,
12/14/2024,,Saturday,President Schedule,"On Saturday, the President has no public events scheduled",The White House,In-Town Pool,,,Array
12/13/2024,9:00:00,Friday,President Schedule,The President receives the President’s Daily Brief,The White House,Closed Press,,,Array
12/13/2024,9:30:00,Friday,President Schedule,The President participates in a virtual G7 meeting,South Court Auditorium,Closed Press,,,
12/12/2024,10:00:00,Thursday,President Schedule,The President receives the President’s Daily Brief,The White House,Closed Press,,,Array
12/12/2024,13:30:00,Thursday,Briefing Schedule,Press Briefing by Press Secretary Karine Jean-Pierre,James S. Brady Press Briefing Room,,,https://rollcall.com/factbase/biden/transcript/joe-biden-press-conference-briefing-karine-jean-pierre-december-12-2024,
12/11/2024,11:30:00,Wednesday,President Schedule,The President and The First Lady will deliver remarks and host the first-ever White House Conference on Women’s Health Research,East Room,Pre-Credentialed Media and Pooled for TV,,https://rollcall.com/factbase/biden/transcript/joe-biden-remarks-womens-health-research-conference-december-11-2024,
12/11/2024,15:30:00,Wednesday,President Schedule,The President receives the President’s Daily Brief,The White House,Closed Press,,,
12/10/2024,10:00:00,Tuesday,President Schedule,The President receives the President’s Daily Brief,The White House,Closed Press,,,Array
12/10/2024,11:45:00,Tuesday,President Schedule,The President departs the White House en route to the Brookings Institution,South Grounds,In-Town Travel Pool,,,
12/10/2024,12:15:00,Tuesday,President Schedule,"The President delivers remarks on his middle-out, bottom-up economic playbook at the Brookings Institution","Brookings Institution, Washington",In-Town Travel Pool,,https://rollcall.com/factbase/biden/transcript/joe-biden-remarks-economics-plans-brookings-december-10-2024,
12/10/2024,13:05:00,Tuesday,President Schedule,The President arrives at the White House,South Grounds,In-Town Travel Pool,,,
